T (°C),ΔT (K),ΔL (0.001 in),ΔL (m),ΔL (mm)
27,0.0,1,2.54e-05,0.025400000000000002
27,0.0,2,5.08e-05,0.050800000000000005
28,1.0,3,7.620000000000001e-05,0.0762
28,1.0,4,0.0001016,0.10160000000000001
29,2.0,5,0.000127,0.127
30,3.0,6,0.00015240000000000002,0.1524
31,4.0,7,0.0001778,0.1778
32,5.0,8,0.0002032,0.20320000000000002
34,7.0,9,0.0002286,0.2286
36,9.0,10,0.000254,0.254
38,11.0,11,0.0002794,0.27940000000000004
41,14.0,12,0.00030480000000000004,0.3048
43,16.0,13,0.0003302,0.3302
48,21.0,14,0.0003556,0.3556
52,25.0,15,0.000381,0.381
54,27.0,16,0.0004064,0.40640000000000004
57,30.0,17,0.00043180000000000003,0.4318
60,33.0,18,0.0004572,0.4572
64,37.0,19,0.0004826,0.48260000000000003
70,43.0,20,0.000508,0.508
73,46.0,21,0.0005334000000000001,0.5334000000000001
78,51.0,22,0.0005588,0.5588000000000001
81,54.0,23,0.0005842,0.5842
83,56.0,24,0.0006096000000000001,0.6096
85,58.0,25,0.000635,0.635
90,63.0,26,0.0006604,0.6604
93,66.0,27,0.0006858,0.6858
95,68.0,28,0.0007112,0.7112
98,71.0,29,0.0007366,0.7366
101,74.0,30,0.000762,0.762
